Timestamp,Open,High,Low,Close,Volume,VWAP,Type,Range
16-04-2024 09:45,-1,1,-1,1,153,-2.175054705,Buy,2
16-04-2024 09:30,-4,-1,-4,-1,17,-3.154605263,Buy,3
16-04-2024 09:15,-3,-3,-3,-3,5,-3.205574913,Sell,0
16-04-2024 09:00,-3,-3,-3,-3,1,-3.209219858,Sell,0
16-04-2024 08:45,-2,-2,-4,-4,13,-3.209964413,Sell,2
16-04-2024 08:30,-4,-4,-4,-4,3,-3.194029851,Sell,0
16-04-2024 08:15,-3,-3,-3,-3,1,-3.18490566,Sell,0
16-04-2024 08:00,-4,-3,-4,-3,8,-3.185606061,Buy,1
16-04-2024 07:45,-2,-2,-2,-2,18,-3.16796875,Sell,0
16-04-2024 07:30,-3,-2,-4,-2,7,-3.256302521,Buy,2
16-04-2024 07:15,-2,-2,-3,-3,17,-3.255411255,Sell,1
16-04-2024 07:00,-3,-3,-4,-4,5,-3.303738318,Sell,1
16-04-2024 06:45,-2,-1,-3,-1,44,-3.306220096,Buy,2
16-04-2024 06:30,-4,-3,-4,-3,11,-3.642424242,Buy,1
16-04-2024 03:30,-5,-5,-5,-5,5,-3.675324675,Sell,0
16-04-2024 03:00,-5,-5,-5,-5,8,-3.630872483,Sell,0
16-04-2024 02:45,-4,-4,-5,-5,58,-3.553191489,Sell,1
16-04-2024 02:30,-2,-1,-4,-4,59,-2.638554217,Sell,3
15-04-2024 15:00,-2,-2,-2,-2,3,-2.791666667,Sell,0
15-04-2024 14:00,-2,-2,-2,-2,1,-2.904761905,Sell,0
15-04-2024 13:45,-2,-2,-2,-2,5,-2.95,Sell,0
15-04-2024 13:30,-3,-2,-3,-2,4,-3.266666667,Buy,1
15-04-2024 13:15,-3,-3,-3,-3,4,-3.454545455,Sell,0
15-04-2024 13:00,-4,-3,-4,-3,7,-3.714285714,Buy,1
15-04-2024 09:45,-3,-3,-5,-5,6,-2.571428571,Sell,2
15-04-2024 09:30,-4,-4,-5,-5,37,-2.539440204,Sell,1
15-04-2024 09:00,-4,-4,-4,-4,3,-2.306179775,Sell,0
15-04-2024 08:45,-3,-3,-4,-3,69,-2.291784703,Sell,1
15-04-2024 08:30,-3,-3,-3,-3,17,-1.915492958,Sell,0
15-04-2024 08:15,-3,-3,-3,-3,7,-1.846441948,Sell,0
15-04-2024 08:00,-3,-3,-3,-3,2,-1.815384615,Sell,0
15-04-2024 07:45,-2,-2,-3,-3,22,-1.80620155,Sell,1
15-04-2024 07:30,-1,-1,-2,-2,11,-1.703389831,Sell,1
15-04-2024 07:15,-1,0,-3,-2,15,-1.693333333,Sell,3
15-04-2024 07:00,-1,-1,-2,-2,12,-1.685714286,Sell,1
15-04-2024 06:45,-2,-2,-2,-2,14,-1.702020202,Sell,0
15-04-2024 06:30,-2,0,-2,-1,30,-1.679347826,Buy,2
15-04-2024 04:15,-3,-2,-3,-2,49,-1.837662338,Buy,1
15-04-2024 03:15,-1,-1,-1,-1,17,-1.39047619,Sell,0
15-04-2024 03:00,-1,-1,-1,-1,5,-1.465909091,Sell,0
15-04-2024 02:45,-2,-2,-3,-2,7,-1.493975904,Sell,1
15-04-2024 02:30,1,1,-2,-2,76,-1.434210526,Sell,3
12-04-2024 09:45,-2,1,-2,1,69,-0.826347305,Buy,3
12-04-2024 09:30,-1,-1,-1,-1,4,-0.98490566,Sell,0
12-04-2024 09:15,0,0,0,0,1,-0.98467433,Sell,0
12-04-2024 09:00,-1,-1,-1,-1,4,-0.988461538,Sell,0
12-04-2024 08:45,-2,-2,-3,-3,6,-0.98828125,Sell,1
12-04-2024 08:30,-2,-2,-2,-2,47,-0.948,Sell,0
12-04-2024 08:15,-2,-2,-2,-2,2,-0.704433498,Sell,0
12-04-2024 08:00,-1,-1,-1,-1,8,-0.691542289,Sell,0
12-04-2024 07:45,-2,-2,-2,-2,2,-0.678756477,Sell,0
12-04-2024 07:30,-1,-1,-1,-1,3,-0.664921466,Sell,0
12-04-2024 07:15,-1,-1,-1,-1,2,-0.659574468,Sell,0
12-04-2024 07:00,-1,-1,-1,-1,1,-0.655913978,Sell,0
12-04-2024 06:45,-1,-1,-1,-1,1,-0.654054054,Sell,0
12-04-2024 06:30,-1,-1,-2,-2,25,-0.652173913,Sell,1
12-04-2024 04:15,1,1,0,0,11,-0.496855346,Sell,1
12-04-2024 04:00,1,1,1,1,2,-0.547297297,Sell,0
12-04-2024 03:00,1,3,1,3,21,-0.568493151,Buy,2
12-04-2024 02:45,2,2,1,1,27,-0.928,Sell,1
12-04-2024 02:30,-2,1,-3,1,98,-1.673469388,Buy,4
09-04-2024 09:45,-2,-2,-2,-2,17,-0.979057592,Sell,0
09-04-2024 09:30,-2,-2,-2,-2,1,-0.879310345,Sell,0
09-04-2024 09:15,-2,-2,-2,-2,3,-0.87283237,Sell,0
09-04-2024 08:45,-2,-2,-2,-2,4,-0.852941176,Sell,0
09-04-2024 08:15,-1,-1,-1,-1,6,-0.825301205,Sell,0
09-04-2024 08:00,-1,-1,-1,-1,7,-0.81875,Sell,0
09-04-2024 06:45,-1,0,-1,0,12,-0.810457516,Buy,1
09-04-2024 06:30,1,1,1,1,6,-0.836879433,Sell,0
09-04-2024 04:15,-1,-1,-1,-1,6,-0.918518519,Sell,0
09-04-2024 04:00,0,0,-1,-1,4,-0.914728682,Sell,1
09-04-2024 03:45,-1,0,-1,0,4,-0.936,Buy,1
09-04-2024 03:30,-2,-2,-2,-2,5,-0.950413223,Sell,0
09-04-2024 03:15,-2,-2,-2,-2,13,-0.905172414,Sell,0
09-04-2024 03:00,-2,-2,-2,-2,51,-0.766990291,Sell,0
09-04-2024 02:45,0,0,-2,-2,24,0.442307692,Sell,2
09-04-2024 02:30,2,3,0,0,23,1.928571429,Sell,3
08-04-2024 14:45,2,2,2,2,2,1.4,Sell,0
08-04-2024 13:45,2,2,2,2,1,1,Sell,0
08-04-2024 13:15,0,0,0,0,1,0.5,Sell,0
08-04-2024 13:00,1,1,1,1,1,1,Sell,0
08-04-2024 09:15,3,3,3,3,1,0.719339623,Sell,0
08-04-2024 08:45,3,3,3,3,26,0.713947991,Sell,0
08-04-2024 08:30,3,3,3,3,4,0.564231738,Sell,0
08-04-2024 08:15,2,3,2,3,37,0.539440204,Buy,1
08-04-2024 08:00,2,2,2,2,7,0.356741573,Sell,0
08-04-2024 07:45,1,2,1,2,24,0.323782235,Buy,1
08-04-2024 07:30,0,1,0,1,13,0.221538462,Buy,1
08-04-2024 07:15,0,0,-1,-1,4,0.198717949,Sell,1
08-04-2024 06:45,-1,-1,-2,-2,44,0.211038961,Sell,1
08-04-2024 06:30,0,1,0,0,21,0.481060606,Sell,1
08-04-2024 04:15,0,2,0,2,42,0.502057613,Buy,2
08-04-2024 04:00,2,2,1,1,15,0.288557214,Sell,1
08-04-2024 03:45,-1,3,-1,3,130,0.204301075,Buy,4
08-04-2024 03:30,-2,-1,-2,-1,7,-1.767857143,Buy,1
08-04-2024 03:15,-1,-1,-1,-1,22,-1.755102041,Sell,0
08-04-2024 03:00,-1,-1,-1,-1,10,-2.37037037,Sell,0
08-04-2024 02:30,-4,-2,-4,-2,17,-3.176470588,Buy,2
05-04-2024 09:45,-3,-3,-4,-4,173,-1.903485255,Sell,1
05-04-2024 09:30,-2,-2,-2,-2,11,-0.925,Sell,0
05-04-2024 08:45,-2,-2,-2,-2,8,-0.862433862,Sell,0
05-04-2024 08:15,-2,-2,-2,-2,1,-0.812154696,Sell,0
05-04-2024 07:45,-1,-1,-2,-2,2,-0.805555556,Sell,1
05-04-2024 07:30,-2,-2,-2,-2,4,-0.797752809,Sell,0
05-04-2024 07:15,-2,-2,-2,-2,3,-0.770114943,Sell,0
05-04-2024 07:00,-1,-1,-1,-1,8,-0.748538012,Sell,0
05-04-2024 06:45,-1,0,-1,0,61,-0.736196319,Buy,1
05-04-2024 06:30,-1,-1,-1,-1,9,-1.156862745,Sell,0
05-04-2024 04:00,-1,-1,-1,-1,1,-1.172043011,Sell,0
05-04-2024 03:30,-2,-2,-2,-2,4,-1.173913043,Sell,0
05-04-2024 03:15,-2,-2,-2,-2,1,-1.136363636,Sell,0
05-04-2024 02:45,-1,-1,-1,-1,1,-1.126436782,Sell,0
04-04-2024 15:15,-1,-1,-1,-1,10,-1.127906977,Sell,0
04-04-2024 15:00,-1,-1,-1,-1,18,-1.144736842,Sell,0
04-04-2024 14:15,-1,-1,-1,-1,5,-1.189655172,Sell,0
04-04-2024 14:00,-1,-1,-1,-1,1,-1.20754717,Sell,0
04-04-2024 13:30,-2,-1,-2,-1,52,-1.211538462,Buy,1
04-04-2024 09:45,-4,-3,-4,-3,13,-2.649090909,Buy,1
04-04-2024 09:30,-5,-5,-5,-5,6,-2.631284916,Sell,0
04-04-2024 09:15,-4,-4,-4,-4,12,-2.604519774,Sell,0
04-04-2024 09:00,-4,-4,-5,-5,21,-2.572254335,Sell,1
04-04-2024 08:30,-4,-4,-5,-5,15,-2.47188755,Sell,1
04-04-2024 08:15,-5,-4,-5,-4,2,-2.414078675,Buy,1
04-04-2024 07:15,-4,-4,-5,-4,57,-2.405405405,Sell,1
04-04-2024 07:00,-3,-3,-3,-3,1,-2.094339623,Sell,0
04-04-2024 06:45,-5,-4,-5,-4,4,-2.092198582,Buy,1
04-04-2024 06:30,-4,-4,-5,-5,31,-2.066825776,Sell,1
04-04-2024 04:15,-5,-5,-5,-5,1,-1.902061856,Sell,0
04-04-2024 04:00,-5,-5,-5,-5,9,-1.894056848,Sell,0
04-04-2024 03:45,-5,-5,-5,-5,2,-1.82010582,Sell,0
04-04-2024 03:30,-4,-4,-5,-5,85,-1.803191489,Sell,1
04-04-2024 03:15,-5,-5,-5,-5,1,-1.158075601,Sell,0
04-04-2024 03:00,-3,-3,-5,-4,91,-1.144827586,Sell,2
04-04-2024 02:45,-1,-1,-2,-2,44,0.130653266,Sell,1
04-04-2024 02:30,-1,-1,-2,-1,20,0.541935484,Sell,1
03-04-2024 15:15,-1,-1,-2,-2,8,0.792592593,Sell,1
03-04-2024 15:00,0,0,0,0,3,0.913385827,Sell,0
03-04-2024 14:45,3,3,3,3,2,0.935483871,Sell,0
03-04-2024 14:30,2,2,2,2,34,0.901639344,Sell,0
03-04-2024 14:15,1,2,1,1,49,0.477272727,Sell,1
03-04-2024 14:00,0,0,0,0,21,-0.307692308,Sell,0
03-04-2024 13:15,0,0,0,0,6,-0.666666667,Sell,0
03-04-2024 13:00,-1,-1,-1,-1,12,-1,Sell,0
03-04-2024 09:45,-1,-1,-3,-3,29,-1.767748479,Sell,2
03-04-2024 09:30,-2,-1,-2,-1,11,-1.750261233,Buy,1
03-04-2024 09:15,-2,-2,-2,-2,30,-1.757928118,Sell,0
03-04-2024 09:00,-3,-3,-3,-3,11,-1.75,Sell,0
03-04-2024 08:45,-3,-2,-3,-2,6,-1.73480663,Buy,1
03-04-2024 08:30,-4,-4,-4,-4,5,-1.727474972,Sell,0
03-04-2024 08:15,-5,-5,-5,-5,23,-1.714765101,Sell,0
03-04-2024 08:00,-5,-5,-5,-5,11,-1.628013777,Sell,0
03-04-2024 07:45,-5,-4,-6,-6,29,-1.584883721,Sell,2
03-04-2024 07:30,-1,-1,-6,-6,257,-1.460890493,Sell,5
03-04-2024 07:15,4,4,0,0,49,-0.409407666,Sell,4
03-04-2024 07:00,2,4,2,4,22,-0.548571429,Buy,2
03-04-2024 06:45,3,4,2,4,48,-0.739562624,Buy,2
03-04-2024 06:30,-1,2,-1,2,126,-1.204395604,Buy,3
03-04-2024 04:15,-1,-1,-2,-2,15,-1.747720365,Sell,1
03-04-2024 04:00,-1,-1,-1,-1,26,-1.742038217,Sell,0
03-04-2024 03:45,-2,0,-2,0,14,-1.809027778,Buy,2
03-04-2024 03:30,-2,-2,-2,-2,18,-1.857664234,Sell,0
03-04-2024 03:15,-2,-2,-3,-2,19,-1.84765625,Sell,1
03-04-2024 03:00,-2,-1,-2,-1,10,-1.805907173,Buy,1
03-04-2024 02:45,-2,-2,-2,-2,14,-1.81938326,Sell,0
03-04-2024 02:30,-3,-2,-3,-3,50,-1.807511737,Sell,1
02-04-2024 14:45,-3,-3,-4,-3,7,-1.484662577,Sell,1
02-04-2024 14:30,-2,-2,-2,-2,4,-1.397435897,Sell,0
02-04-2024 14:15,-3,-2,-3,-2,8,-1.381578947,Buy,1
02-04-2024 14:00,-1,-1,-3,-1,12,-1.298611111,Sell,2
02-04-2024 13:45,-2,-1,-3,-1,67,-1.189393939,Buy,2
02-04-2024 13:30,0,0,-1,-1,46,-0.184615385,Sell,1
02-04-2024 13:15,0,0,-1,-1,6,1.263157895,Sell,1
02-04-2024 13:00,2,2,2,2,13,2,Sell,0
02-04-2024 09:45,0,1,-1,1,44,-1.42997543,Buy,2
02-04-2024 09:30,0,0,0,0,4,-1.663911846,Sell,0
02-04-2024 09:15,0,0,0,0,3,-1.682451253,Sell,0
02-04-2024 09:00,1,1,1,1,2,-1.696629213,Sell,0
02-04-2024 08:45,0,0,0,0,20,-1.711864407,Sell,0
02-04-2024 08:15,0,0,0,0,1,-1.814371257,Sell,0
02-04-2024 07:30,-1,1,-1,1,43,-1.81981982,Buy,2
02-04-2024 07:15,-1,-1,-1,-1,2,-2.127586207,Sell,0
02-04-2024 07:00,-1,0,-1,0,33,-2.135416667,Buy,1
02-04-2024 06:45,-2,-2,-2,-2,5,-2.368627451,Sell,0
02-04-2024 06:30,-2,-2,-2,-2,1,-2.376,Sell,0
02-04-2024 04:15,-3,-2,-3,-3,49,-2.37751004,Sell,1
02-04-2024 04:00,-2,-2,-3,-2,65,-2.39,Sell,1
02-04-2024 03:45,-4,-2,-4,-2,15,-2.533333333,Buy,2
02-04-2024 03:30,-3,-3,-3,-3,7,-2.508333333,Sell,0
02-04-2024 03:15,-3,-3,-5,-4,45,-2.477876106,Sell,2
02-04-2024 03:00,-3,-2,-3,-3,18,-1.588235294,Sell,1
02-04-2024 02:45,-1,-1,-2,-2,24,-1.2,Sell,1
02-04-2024 02:30,-1,-1,-1,-1,18,-1.346153846,Sell,0
01-04-2024 15:15,-2,-1,-2,-1,2,-2.125,Buy,1
01-04-2024 14:00,-3,-3,-3,-3,1,-2.333333333,Sell,0
01-04-2024 13:45,-2,-2,-2,-2,2,-2.2,Sell,0
01-04-2024 13:15,-3,-3,-3,-3,1,-2.333333333,Sell,0
01-04-2024 13:00,-2,-2,-2,-2,2,-2,Sell,0
01-04-2024 09:45,-3,-1,-3,-2,58,-0.807420495,Buy,2
01-04-2024 09:30,-3,-2,-3,-3,22,-0.74015748,Sell,1
01-04-2024 09:15,-3,-3,-3,-3,1,-0.658436214,Sell,0
01-04-2024 09:00,-2,-2,-2,-2,5,-0.653608247,Sell,0
01-04-2024 08:45,-2,-2,-2,-2,3,-0.639583333,Sell,0
01-04-2024 08:15,-2,-2,-3,-3,52,-0.631027254,Sell,1
01-04-2024 08:00,-3,-3,-3,-3,22,-0.418823529,Sell,0
01-04-2024 07:45,-2,-1,-2,-1,25,-0.277915633,Buy,1
01-04-2024 07:30,-4,-3,-4,-3,63,-0.211640212,Buy,1
01-04-2024 07:15,-3,-2,-3,-3,31,0.374603175,Sell,1
01-04-2024 07:00,-1,-1,-2,-2,57,0.728873239,Sell,1
01-04-2024 06:30,0,0,-1,-1,84,1.255506608,Sell,1
01-04-2024 03:30,0,0,0,0,2,2.524475524,Sell,0
01-04-2024 03:15,0,0,0,0,14,2.560283688,Sell,0
01-04-2024 03:00,0,0,0,0,3,2.842519685,Sell,0
01-04-2024 02:45,1,1,1,1,25,2.911290323,Sell,0
01-04-2024 02:30,7,7,1,2,99,3.393939394,Sell,6
29-03-2024 09:45,6,6,6,6,4,6.313953488,Sell,0
29-03-2024 09:30,6,6,6,6,1,6.321428571,Sell,0
29-03-2024 09:15,8,8,8,8,9,6.323353293,Sell,0
29-03-2024 08:15,7,7,7,7,3,6.227848101,Sell,0
29-03-2024 07:45,7,7,7,7,6,6.212903226,Sell,0
29-03-2024 07:30,6,6,6,6,5,6.181208054,Sell,0
29-03-2024 07:00,6,6,5,5,9,6.1875,Sell,1
29-03-2024 06:30,6,6,6,6,12,6.237037037,Sell,0
29-03-2024 04:15,7,7,7,7,6,6.260162602,Sell,0
29-03-2024 03:30,10,10,10,10,19,6.222222222,Sell,0
29-03-2024 03:15,6,9,6,9,61,5.489795918,Buy,3
29-03-2024 03:00,5,5,5,5,11,2.405405405,Sell,0
29-03-2024 02:45,4,5,4,5,13,1.307692308,Buy,1
29-03-2024 02:30,-7,4,-7,4,13,-1.461538462,Buy,11
27-03-2024 09:45,3,3,3,3,2,1.404761905,Sell,0
27-03-2024 09:15,1,2,1,1,17,1.365853659,Sell,1
27-03-2024 09:00,1,1,1,1,5,1.430769231,Sell,0
27-03-2024 07:15,1,1,1,1,2,1.466666667,Sell,0
27-03-2024 07:00,1,1,1,1,1,1.482758621,Sell,0
27-03-2024 06:30,1,1,1,1,1,1.49122807,Sell,0
27-03-2024 04:00,1,1,0,1,11,1.5,Sell,1
27-03-2024 03:30,1,1,1,1,1,1.644444444,Sell,0
27-03-2024 03:15,2,2,1,1,15,1.659090909,Sell,1
27-03-2024 03:00,1,1,1,1,5,1.689655172,Sell,0
27-03-2024 02:45,2,2,1,1,13,1.833333333,Sell,1
27-03-2024 02:30,3,3,2,2,6,2.454545455,Sell,1
26-03-2024 14:30,2,2,2,2,1,2,Sell,0
26-03-2024 14:00,2,2,2,2,1,2,Sell,0
26-03-2024 13:45,2,2,2,2,1,2,Sell,0
26-03-2024 13:15,2,2,2,2,2,2,Sell,0
26-03-2024 09:45,1,1,1,1,3,1.255813953,Sell,0
26-03-2024 08:45,2,2,2,2,1,1.275,Sell,0
26-03-2024 07:15,2,2,2,2,3,1.256410256,Sell,0
26-03-2024 06:30,0,0,0,0,2,1.194444444,Sell,0
26-03-2024 04:15,0,0,0,0,2,1.264705882,Sell,0
26-03-2024 04:00,0,0,-1,-1,3,1.34375,Sell,1
26-03-2024 03:45,1,1,1,1,4,1.551724138,Sell,0
26-03-2024 03:00,0,0,0,0,2,1.64,Sell,0
26-03-2024 02:45,1,1,0,0,6,1.782608696,Sell,1
26-03-2024 02:30,1,1,1,1,2,2.235294118,Sell,0
25-03-2024 15:15,1,1,1,1,2,2.4,Sell,0
25-03-2024 14:45,2,2,2,2,3,2.615384615,Sell,0
25-03-2024 14:15,2,2,2,2,1,2.8,Sell,0
25-03-2024 14:00,2,2,2,2,1,2.888888889,Sell,0
25-03-2024 13:45,3,3,3,3,4,3,Sell,0
25-03-2024 13:00,3,3,3,3,4,3,Sell,0
25-03-2024 09:45,3,4,3,4,4,2.503225806,Buy,1
25-03-2024 09:30,3,3,3,3,4,2.470198675,Sell,0
25-03-2024 09:15,3,3,3,3,1,2.455782313,Sell,0
25-03-2024 09:00,2,4,2,4,9,2.452054795,Buy,2
25-03-2024 08:45,2,2,2,2,2,2.430656934,Sell,0
25-03-2024 08:30,0,1,0,1,20,2.437037037,Buy,1
25-03-2024 08:15,2,2,1,1,25,2.852173913,Sell,1
25-03-2024 08:00,3,3,3,3,2,3.3,Sell,0
25-03-2024 07:00,3,3,3,3,5,3.306818182,Sell,0
25-03-2024 06:45,2,2,2,2,3,3.325301205,Sell,0
25-03-2024 06:30,3,3,3,3,5,3.375,Sell,0
25-03-2024 04:00,3,3,3,3,1,3.4,Sell,0
25-03-2024 03:45,5,5,5,5,2,3.405405405,Sell,0
25-03-2024 03:15,5,6,4,4,12,3.361111111,Sell,2
25-03-2024 03:00,3,5,3,5,26,3.05,Buy,2
25-03-2024 02:45,4,4,3,3,5,2.088235294,Sell,1
25-03-2024 02:30,1,3,1,3,29,1.827586207,Buy,2
22-03-2024 09:45,1,1,0,0,6,-3.613636364,Sell,1
22-03-2024 09:30,0,0,0,0,9,-3.713178295,Sell,0
22-03-2024 09:15,0,0,0,0,5,-3.847389558,Sell,0
22-03-2024 09:00,0,0,0,0,1,-3.926229508,Sell,0
22-03-2024 08:45,-1,0,-1,0,6,-3.942386831,Buy,1
22-03-2024 08:15,-1,0,-1,0,3,-4.033755274,Buy,1
22-03-2024 08:00,-3,-1,-3,-1,11,-4.076923077,Buy,2
22-03-2024 07:45,-2,-2,-2,-2,1,-4.156950673,Sell,0
22-03-2024 07:15,-1,-1,-1,-1,1,-4.166666667,Sell,0
22-03-2024 07:00,-1,-1,-1,-1,7,-4.180995475,Sell,0
22-03-2024 06:45,-1,-1,-1,-1,17,-4.285046729,Sell,0
22-03-2024 06:30,-3,-2,-3,-2,27,-4.568527919,Buy,1
22-03-2024 04:00,-3,-3,-3,-3,1,-4.929411765,Sell,0
22-03-2024 03:45,-3,-3,-3,-3,1,-4.940828402,Sell,0
22-03-2024 03:15,-3,-2,-3,-2,9,-4.952380952,Buy,1
22-03-2024 03:00,-4,-4,-4,-4,1,-5.06918239,Sell,0
22-03-2024 02:45,-4,-4,-5,-4,11,-5.075949367,Sell,1
22-03-2024 02:30,-5,-4,-6,-4,22,-5.102040816,Buy,2
21-03-2024 15:15,-5,-5,-6,-6,25,-5.096,Sell,1
21-03-2024 15:00,-6,-5,-6,-6,13,-4.9,Sell,1
21-03-2024 14:45,-5,-4,-6,-6,77,-4.75862069,Sell,2
21-03-2024 14:30,-5,-5,-5,-5,4,-4.3,Sell,0
21-03-2024 14:15,-3,-3,-3,-3,1,-3.833333333,Sell,0
21-03-2024 13:45,-4,-4,-4,-4,1,-4,Sell,0
21-03-2024 13:30,-4,-4,-4,-4,2,-4,Sell,0
21-03-2024 13:15,-4,-4,-4,-4,2,-4,Sell,0
21-03-2024 09:45,-4,-4,-5,-5,21,-3.164179104,Sell,1
21-03-2024 08:30,-3,-3,-3,-3,1,-2.96460177,Sell,0
21-03-2024 08:15,-2,-2,-3,-3,3,-2.964285714,Sell,1
21-03-2024 08:00,-3,-2,-3,-2,4,-2.981651376,Buy,1
21-03-2024 07:00,-2,-2,-2,-2,2,-2.99047619,Sell,0
21-03-2024 06:45,-4,-3,-4,-3,2,-3.009708738,Buy,1
21-03-2024 06:30,-1,-1,-5,-2,75,-3,Sell,4
21-03-2024 03:45,-1,-1,-1,-1,2,-1.961538462,Sell,0
21-03-2024 02:45,-1,-1,-1,-1,2,-2.041666667,Sell,0
21-03-2024 02:30,-1,-1,-1,-1,6,-2.136363636,Sell,0
20-03-2024 14:45,-3,-3,-3,-3,5,-2.5625,Sell,0
20-03-2024 14:15,-2,-2,-2,-2,6,-2.363636364,Sell,0
20-03-2024 13:00,-4,-2,-4,-2,5,-2.8,Buy,2
20-03-2024 09:45,-3,-3,-4,-4,7,-1.834862385,Sell,1
20-03-2024 09:30,-3,-3,-3,-3,7,-1.772511848,Sell,0
20-03-2024 09:15,-3,-3,-3,-3,8,-1.730392157,Sell,0
20-03-2024 09:00,-2,-2,-2,-2,5,-1.678571429,Sell,0
20-03-2024 08:45,-2,-2,-2,-2,3,-1.670157068,Sell,0
20-03-2024 08:00,-2,-2,-2,-2,1,-1.664893617,Sell,0
20-03-2024 07:45,-3,-3,-3,-3,3,-1.663101604,Sell,0
20-03-2024 07:15,-3,-3,-3,-3,7,-1.641304348,Sell,0
20-03-2024 07:00,-3,-2,-3,-3,12,-1.587570621,Sell,1
20-03-2024 06:45,-2,-2,-2,-2,7,-1.490909091,Sell,0
20-03-2024 06:30,0,1,-1,-1,10,-1.46835443,Sell,2
20-03-2024 04:15,0,0,0,0,2,-1.554054054,Sell,0
20-03-2024 04:00,0,0,0,0,12,-1.575342466,Sell,0
20-03-2024 03:45,-1,-1,-1,-1,3,-1.71641791,Sell,0
20-03-2024 03:30,0,0,0,0,9,-1.732824427,Sell,0
20-03-2024 03:15,2,2,2,2,2,-1.860655738,Sell,0
20-03-2024 03:00,-2,2,-2,2,65,-1.925,Buy,4
20-03-2024 02:45,-3,-3,-4,-3,5,-4.527272727,Sell,1
20-03-2024 02:30,-5,-2,-5,-2,10,-4.64,Buy,3
19-03-2024 15:00,-5,-5,-5,-5,3,-4.825,Sell,0
19-03-2024 14:45,-5,-5,-5,-5,30,-4.810810811,Sell,0
19-03-2024 14:15,-4,-4,-4,-4,4,-4,Sell,0
19-03-2024 13:00,-4,-4,-4,-4,3,-4,Sell,0
19-03-2024 09:45,-4,-4,-4,-4,21,-3.844686649,Sell,0
19-03-2024 09:30,-3,-3,-3,-3,2,-3.835260116,Sell,0
19-03-2024 09:15,-3,-3,-3,-3,1,-3.840116279,Sell,0
19-03-2024 08:45,-5,-4,-5,-4,9,-3.842565598,Buy,1
19-03-2024 08:30,-4,-4,-5,-5,18,-3.820359281,Sell,1
19-03-2024 08:15,-3,-3,-3,-3,2,-3.806962025,Sell,0
19-03-2024 08:00,-3,-3,-3,-3,2,-3.812101911,Sell,0
19-03-2024 07:30,0,0,-2,-2,8,-3.817307692,Sell,2
19-03-2024 07:15,0,0,0,0,2,-3.898026316,Sell,0
19-03-2024 06:45,-1,-1,-1,-1,16,-3.92384106,Sell,0
19-03-2024 06:30,-3,-1,-3,-1,42,-4.087412587,Buy,2
19-03-2024 04:15,-5,-4,-5,-5,21,-4.540983607,Sell,1
19-03-2024 03:00,-4,-4,-5,-5,14,-4.515695067,Sell,1
19-03-2024 02:45,-5,-4,-5,-5,112,-4.492822967,Sell,1
19-03-2024 02:30,-3,-3,-5,-5,64,-4.18556701,Sell,2
