Timestamp,Open,High,Low,Close,Volume,VWAP,Type,Range
16-04-2024 09:45,105,108,100,101,125,113.7068966,Sell,8
16-04-2024 09:30,110,110,107,107,92,114.8693135,Sell,3
16-04-2024 09:15,109,111,108,110,60,115.3554163,Buy,3
16-04-2024 09:00,110,111,109,111,15,115.7095553,Buy,2
16-04-2024 08:45,112,112,110,110,41,115.7879079,Sell,2
16-04-2024 08:30,115,115,112,112,51,115.985015,Sell,3
16-04-2024 08:15,115,115,115,115,1,116.1063158,Sell,0
16-04-2024 07:45,116,116,115,116,8,116.1074816,Sell,1
16-04-2024 07:30,118,118,115,115,9,116.1105207,Sell,3
16-04-2024 07:15,121,121,117,119,49,116.1072961,Sell,4
16-04-2024 07:00,119,122,118,121,161,115.9003398,Buy,4
16-04-2024 06:45,115,119,113,119,75,114.8698061,Buy,6
16-04-2024 06:30,115,118,114,115,60,114.7171561,Sell,4
16-04-2024 04:15,117,117,115,115,16,114.5536627,Sell,2
16-04-2024 04:00,119,119,117,117,5,114.5218914,Sell,2
16-04-2024 03:45,119,120,119,120,14,114.4946996,Buy,1
16-04-2024 03:30,118,121,118,120,84,114.3713768,Buy,3
16-04-2024 03:15,116,117,116,116,13,113.4380342,Sell,1
16-04-2024 03:00,113,118,113,118,70,113.356044,Buy,5
16-04-2024 02:45,113,115,111,115,198,112.9376623,Buy,4
16-04-2024 02:30,111,115,108,113,103,111.9197861,Buy,7
15-04-2024 15:00,111,111,110,110,3,112.0595238,Sell,1
15-04-2024 14:45,111,111,111,111,2,112.1234568,Sell,0
15-04-2024 14:30,111,111,111,111,2,112.1518987,Sell,0
15-04-2024 14:00,112,112,109,110,16,112.1818182,Sell,3
15-04-2024 13:45,111,111,110,111,22,112.8688525,Sell,1
15-04-2024 13:30,112,112,112,112,1,114.2307692,Sell,0
15-04-2024 13:15,113,114,112,112,12,114.2894737,Sell,2
15-04-2024 13:00,117,117,114,114,26,115.0384615,Sell,3
15-04-2024 09:45,119,120,117,119,55,120.84,Sell,3
15-04-2024 09:30,117,119,117,119,37,121,Buy,2
15-04-2024 09:00,117,117,117,117,4,121.1662269,Sell,0
15-04-2024 08:45,117,123,115,116,122,121.1883289,Sell,8
15-04-2024 08:30,115,118,115,117,26,121.4873418,Buy,3
15-04-2024 08:15,115,116,115,116,6,121.6914191,Buy,1
15-04-2024 08:00,113,117,113,117,30,121.7566667,Buy,4
15-04-2024 07:45,117,117,114,114,17,122.0631579,Sell,3
15-04-2024 07:30,118,118,117,118,14,122.2857143,Sell,1
15-04-2024 07:15,120,121,120,120,13,122.4100186,Sell,1
15-04-2024 07:00,123,123,120,120,64,122.4676806,Sell,3
15-04-2024 06:45,123,125,123,124,37,122.5454545,Buy,2
15-04-2024 06:30,118,124,118,123,180,122.4517647,Buy,6
15-04-2024 04:15,119,121,118,118,109,123.0040816,Sell,3
15-04-2024 04:00,119,119,119,119,5,125.3235294,Sell,0
15-04-2024 03:45,121,121,120,120,3,125.5648855,Sell,1
15-04-2024 03:30,119,119,119,119,1,125.6796875,Sell,0
15-04-2024 03:15,121,121,119,119,12,125.7322835,Sell,2
15-04-2024 03:00,123,123,121,121,12,126.3826087,Sell,2
15-04-2024 02:45,127,127,123,123,44,126.8834951,Sell,4
15-04-2024 02:30,130,132,125,127,59,127.8305085,Sell,7
12-04-2024 09:45,133,134,128,128,45,125.6362069,Sell,6
12-04-2024 09:30,131,133,128,133,30,125.2074766,Buy,5
12-04-2024 09:15,130,132,130,132,23,124.8653465,Buy,2
12-04-2024 09:00,130,130,128,128,10,124.5684647,Sell,2
12-04-2024 08:45,129,131,129,131,10,124.4872881,Buy,2
12-04-2024 08:30,127,130,127,130,2,124.3549784,Buy,3
12-04-2024 08:15,128,129,128,129,8,124.3369565,Buy,1
12-04-2024 08:00,127,128,127,128,15,124.2566372,Buy,1
12-04-2024 07:45,125,125,123,123,3,124.1578947,Sell,2
12-04-2024 07:30,124,124,123,123,11,124.156682,Sell,1
12-04-2024 07:00,123,123,122,123,10,124.1654846,Sell,1
12-04-2024 06:45,124,124,122,122,35,124.2009685,Sell,2
12-04-2024 06:30,124,127,124,124,54,124.2883598,Sell,3
12-04-2024 04:00,125,125,125,125,1,124.0030864,Sell,0
12-04-2024 03:45,123,123,122,122,36,124,Sell,1
12-04-2024 03:30,122,124,122,124,8,124.2334495,Buy,2
12-04-2024 03:15,122,123,122,122,57,124.2616487,Sell,1
