Timestamp,Market Open Interest,Daily Range,10 Day  Average Daily Range,10 Day Average MOI,Greater MOI,Greater DR
20-10-2023,224055,69,87.1,215518.5,1,0
19-10-2023,223598,102,85.5,216204,1,1
18-10-2023,222625,64,84.8,216881.9,1,0
17-10-2023,223913,50,80.3,217925.3,1,0
16-10-2023,225695,45,77.1,219302,1,0
13-10-2023,230163,127,81.9,221109.4,1,1
12-10-2023,234450,110,79.6,223009.7,1,1
11-10-2023,234302,64,79.1,225299.5,1,0
10-10-2023,230125,116,80.2,227101.8,1,1
09-10-2023,230599,77,82.4,227952.5,1,0
06-10-2023,230705,69,82.4,228617.5,1,0
05-10-2023,230457,107,82.9,229303.4,1,1
04-10-2023,221966,51,81.6,229237.5,0,0
03-10-2023,222038,69,83.5,229050,0,0
02-10-2023,224186,87,87.7,228899.1,0,0
29-09-2023,221984,94,84.4,228081.2,0,1
27-09-2023,217378,130,86.4,226374,0,1
26-09-2023,219840,46,84.6,224927.8,0,0
25-09-2023,217966,64,79.4,223711.9,0,0
22-09-2023,214965,58,77.5,222148.5,0,0
21-09-2023,215059,91,79.7,220583.9,0,1
20-09-2023,208063,51,74.1,218344.5,0,0
19-09-2023,207847,73,76.3,216932.6,0,0
18-09-2023,204411,48,74.2,215169.9,0,0
15-09-2023,203441,57,71.2,213095.4,0,0
14-09-2023,202451,78,69.6,211142.1,0,1
13-09-2023,206016,59,62.5,210005.9,0,0
12-09-2023,207774,105,68.4,208799.3,0,1
11-09-2023,205695,157,77.7,207572.2,0,1
08-09-2023,211259,60,77.9,207201.6,1,0
07-09-2023,210214,87,77.5,206717.1,1,1
06-09-2023,208790,79,80.3,206789.8,1,0
05-09-2023,208642,90,82,206869.3,1,1
04-09-2023,207561,62,83.4,207184.3,1,0
01-09-2023,208791,78,85.5,207719.3,1,0
30-08-2023,209007,101,87.8,208374.9,1,1
29-08-2023,204864,57,87.6,208259.7,0,0
28-08-2023,199274,66,83.7,207409.7,0,0
25-08-2023,200992,109,78.9,206939.4,0,1
24-08-2023,198424,105,83.4,205655.9,0,1
23-08-2023,196043,94,84.1,204238.8,0,1
22-08-2023,194779,89,85.1,202837.7,0,1
21-08-2023,193666,70,83.1,201340.1,0,0
18-08-2023,193505,100,86.9,199934.5,0,1
17-08-2023,193376,108,89.9,198393,0,1
